order_id,customer_lat,customer_lon,delivery_window_start,delivery_duration_estimate,vehicle_capacity,package_size,delivery_window_end
1,23.874540118847364,58.53142918568673,2025-07-30 11:43:00,33,2,2,2025-07-30 12:16:00
2,24.450714306409917,59.13641041126378,2025-07-30 09:28:00,29,1,2,2025-07-30 09:57:00
3,24.231993941811407,58.814355981076325,2025-07-30 09:06:00,20,2,2,2025-07-30 09:26:00
4,24.09865848419704,59.0085706911647,2025-07-30 10:10:00,26,2,2,2025-07-30 10:36:00
5,23.656018640442436,59.407566473926096,2025-07-30 10:02:00,17,1,1,2025-07-30 10:19:00
6,23.655994520336204,58.74929222914888,2025-07-30 09:57:00,13,2,1,2025-07-30 10:10:00
7,23.5580836121682,58.91038292303563,2025-07-30 09:35:00,15,2,2,2025-07-30 09:50:00
8,24.366176145774936,59.25555113854305,2025-07-30 09:26:00,17,2,1,2025-07-30 09:43:00
9,24.101115011743207,58.728798165491625,2025-07-30 11:53:00,29,2,1,2025-07-30 12:22:00
10,24.208072577796045,58.57697990982879,2025-07-30 11:19:00,39,2,2,2025-07-30 11:58:00
11,23.520584494295804,58.78975145291377,2025-07-30 09:22:00,12,1,2,2025-07-30 09:34:00
12,24.469909852161994,58.661221287254,2025-07-30 11:31:00,25,2,1,2025-07-30 11:56:00
13,24.332442640800423,59.429697652342576,2025-07-30 10:48:00,39,1,2,2025-07-30 11:27:00
14,23.712339110678275,59.308120379564414,2025-07-30 09:08:00,34,2,1,2025-07-30 09:42:00
15,23.6818249672071,59.133403756510425,2025-07-30 09:07:00,12,1,2,2025-07-30 09:19:00
16,23.683404509853435,59.371460590187716,2025-07-30 09:23:00,34,1,1,2025-07-30 09:57:00
17,23.80424224295954,59.30367207689911,2025-07-30 09:55:00,38,2,2,2025-07-30 10:33:00
18,24.024756431632238,58.68657005888603,2025-07-30 09:59:00,27,2,1,2025-07-30 10:26:00
19,23.931945018642114,59.392558998489974,2025-07-30 11:09:00,23,2,1,2025-07-30 11:32:00
20,23.79122914019804,59.03934224191565,2025-07-30 11:34:00,27,1,1,2025-07-30 12:01:00
21,24.11185289472238,59.30744015516406,2025-07-30 09:06:00,11,2,2,2025-07-30 09:17:00
22,23.639493860652042,59.39609129992349,2025-07-30 11:23:00,31,1,1,2025-07-30 11:54:00
23,23.792144648535217,58.81800347497187,2025-07-30 09:50:00,12,1,1,2025-07-30 10:02:00
24,23.866361843293692,58.610051924527674,2025-07-30 11:46:00,25,1,2,2025-07-30 12:11:00
25,23.956069984217034,58.72793516254194,2025-07-30 11:59:00,38,2,2,2025-07-30 12:37:00
26,24.285175961393012,58.92710778862626,2025-07-30 11:19:00,18,2,1,2025-07-30 11:37:00
