order_id,customer_lat,customer_lon,delivery_window_start,delivery_duration_estimate,vehicle_capacity,package_size,delivery_window_end
1,23.874540118847364,58.68513292883862,2025-04-29 10:44:00,37,2,2,2025-04-29 11:21:00
2,24.450714306409917,59.04190094737836,2025-01-02 11:53:00,16,2,1,2025-01-02 12:09:00
3,24.231993941811407,59.37294583587641,2025-02-24 11:54:00,12,1,1,2025-02-24 12:06:00
4,24.09865848419704,59.23222488640956,2025-02-25 11:11:00,32,2,2,2025-02-25 11:43:00
5,23.656018640442436,59.30656114786145,2025-01-14 10:49:00,37,1,2,2025-01-14 11:26:00
6,23.655994520336204,59.158783366710715,2025-01-09 11:26:00,23,2,1,2025-01-09 11:49:00
7,23.5580836121682,59.192276564517854,2025-06-25 10:42:00,33,1,2,2025-06-25 11:15:00
8,24.366176145774936,59.34919565156532,2025-06-23 10:29:00,19,1,2,2025-06-23 10:48:00
9,24.101115011743207,58.74966800885919,2025-01-15 10:08:00,25,1,1,2025-01-15 10:33:00
10,24.208072577796045,58.98942496364314,2025-02-20 11:57:00,25,2,2,2025-02-20 12:22:00
11,23.520584494295804,58.7212094418196,2025-05-08 09:05:00,31,1,2,2025-05-08 09:36:00
12,24.469909852161994,59.487668007996646,2025-02-08 11:47:00,19,1,1,2025-02-08 12:06:00
13,24.332442640800423,59.44405933968661,2025-01-12 09:48:00,34,1,2,2025-01-12 10:22:00
14,23.712339110678275,58.53942681136851,2025-03-31 11:37:00,22,1,1,2025-03-31 11:59:00
15,23.6818249672071,59.20557517251569,2025-05-23 11:09:00,15,1,1,2025-05-23 11:24:00
16,23.683404509853435,59.425248317415665,2025-06-16 10:47:00,21,1,2,2025-06-16 11:08:00
17,23.80424224295954,58.68057534512733,2025-04-18 10:26:00,18,2,2,2025-04-18 10:44:00
18,24.024756431632238,59.06794523055263,2025-02-09 10:55:00,22,2,2,2025-02-09 11:17:00
19,23.931945018642114,59.41548829758804,2025-03-07 11:44:00,13,1,1,2025-03-07 11:57:00
20,23.79122914019804,58.5339459785858,2025-04-25 11:23:00,33,2,2,2025-04-25 11:56:00
21,24.11185289472238,59.19742026724684,2025-05-24 09:02:00,20,2,1,2025-05-24 09:22:00
22,23.639493860652042,58.79734900737255,2025-03-26 10:25:00,29,1,2,2025-03-26 10:54:00
23,23.792144648535217,59.42439619537653,2025-06-19 11:32:00,27,1,2,2025-06-19 11:59:00
24,23.866361843293692,59.471058245165366,2025-02-05 11:38:00,35,1,2,2025-02-05 12:13:00
25,23.956069984217034,59.44426648911343,2025-03-25 10:39:00,20,2,1,2025-03-25 10:59:00
26,24.285175961393012,58.974214216657465,2025-06-15 09:55:00,34,1,2,2025-06-15 10:29:00
27,23.69967378215836,59.362042650989316,2025-03-13 11:23:00,30,2,2,2025-03-13 11:53:00
28,24.014234438413613,59.34454939853507,2025-06-22 09:54:00,13,1,1,2025-06-22 10:07:00
29,24.092414568862043,58.81910047324325,2025-06-03 09:25:00,27,2,1,2025-06-03 09:52:00
30,23.54645041272,59.328915474150676,2025-06-29 09:49:00,10,1,2,2025-06-29 09:59:00
31,24.107544851901437,58.53700763471549,2025-03-22 11:07:00,36,1,2,2025-03-22 11:43:00
32,23.67052412368729,59.096269878482055,2025-01-29 11:48:00,16,2,2,2025-01-29 12:04:00
33,23.56505159298528,58.730008837287706,2025-02-13 11:09:00,15,2,1,2025-02-13 11:24:00
34,24.448885537253332,58.62056688577728,2025-01-04 09:01:00,24,2,1,2025-01-04 09:25:00
35,24.46563203307456,58.57695320162921,2025-01-09 11:08:00,27,2,1,2025-01-09 11:35:00
36,24.30839734811646,59.19628877587814,2025-01-10 10:24:00,33,2,1,2025-01-10 10:57:00
37,23.804613769173372,58.83987496376807,2025-04-19 11:43:00,20,2,2,2025-04-19 12:03:00
38,23.597672114006382,59.22476677152876,2025-02-26 09:32:00,29,1,1,2025-02-26 10:01:00
39,24.184233026512157,58.56535634079894,2025-02-04 10:21:00,33,2,1,2025-02-04 10:54:00
40,23.9401524937396,58.81529033783061,2025-02-20 11:39:00,24,1,1,2025-02-20 12:03:00
41,23.62203823484478,59.03949129237534,2025-05-04 11:53:00,25,1,2,2025-05-04 12:18:00
42,23.99517691011127,59.290723164838965,2025-04-16 09:28:00,16,2,2,2025-04-16 09:44:00
43,23.53438852111522,58.81875250293207,2025-05-09 10:48:00,30,1,1,2025-05-09 11:18:00
44,24.409320402078784,59.12589137643701,2025-01-20 11:52:00,19,2,1,2025-01-20 12:11:00
45,23.758779981600018,59.385977748236186,2025-02-09 11:28:00,35,2,2,2025-02-09 12:03:00
46,24.162522284353983,59.1158631881823,2025-03-01 09:17:00,21,1,2,2025-03-01 09:38:00
47,23.81171107608941,58.732959474753635,2025-02-17 11:19:00,33,1,2,2025-02-17 11:52:00
48,24.02006802117781,58.52440078155654,2025-04-08 09:25:00,23,2,2,2025-04-08 09:48:00
49,24.04671027934328,59.37009887390093,2025-06-29 10:40:00,34,2,2,2025-06-29 11:14:00
50,23.684854455525528,58.52126941085039,2025-01-06 09:20:00,14,1,2,2025-01-06 09:34:00
51,24.469584627764558,59.374701672684196,2025-01-01 11:25:00,35,1,2,2025-01-01 12:00:00
52,24.275132823361115,59.02893713402721,2025-05-14 09:04:00,30,1,2,2025-05-14 09:34:00
53,24.43949894156419,59.43906769851289,2025-01-30 11:16:00,27,1,1,2025-01-30 11:43:00
54,24.394827350427647,59.29878323577366,2025-03-17 11:11:00,14,2,1,2025-03-17 11:25:00
55,24.097899978811085,59.497934110533336,2025-05-17 09:04:00,12,2,1,2025-05-17 09:16:00
56,24.421874235023118,58.85071181545171,2025-04-02 09:59:00,32,2,1,2025-04-02 10:31:00
57,23.58849250205192,59.26718828893112,2025-04-30 09:40:00,35,2,1,2025-04-30 10:15:00
58,23.695982862419147,58.90193091360924,2025-02-28 10:16:00,14,1,1,2025-02-28 10:30:00
59,23.54522728891054,58.97987562030391,2025-01-15 11:02:00,33,1,2,2025-01-15 11:35:00
60,23.825330330763265,59.12750546321837,2025-04-04 10:57:00,26,2,2,2025-04-04 11:23:00
61,23.888677289689483,59.373677114186336,2025-01-31 10:32:00,28,2,1,2025-01-31 11:00:00
62,23.771349031773894,59.4840834691993,2025-06-21 09:39:00,28,2,1,2025-06-21 10:07:00
63,24.328737509151928,59.26827341386452,2025-06-22 09:55:00,34,2,2,2025-06-22 10:29:00
64,23.85675332669359,58.917766782167334,2025-06-27 11:38:00,30,2,2,2025-06-27 12:08:00
65,23.78093450968738,58.92135700227707,2025-03-12 11:25:00,21,2,2,2025-03-12 11:46:00
66,24.042696083158248,59.237582301588894,2025-05-21 11:34:00,34,2,1,2025-05-21 12:08:00
67,23.640924224974764,58.7387771457683,2025-05-30 11:15:00,38,2,2,2025-05-30 11:53:00
68,24.30219698075404,58.610474113131396,2025-04-06 10:54:00,18,2,1,2025-04-06 11:12:00
69,23.57455064367977,58.854622157640776,2025-03-28 09:51:00,10,1,1,2025-03-28 10:01:00
70,24.486886936600516,58.78723899165408,2025-05-03 09:45:00,27,2,2,2025-05-03 10:12:00
71,24.27224476929666,58.79630812045599,2025-02-02 10:33:00,30,1,2,2025-02-02 11:03:00
72,23.69871568153417,58.73360775104991,2025-01-18 09:23:00,13,1,1,2025-01-18 09:36:00
73,23.505522117123604,58.54209318963636,2025-01-28 09:45:00,19,2,2,2025-01-28 10:04:00
74,24.315461428454835,58.517873934733416,2025-02-07 09:44:00,34,2,2,2025-02-07 10:18:00
75,24.206857343847616,59.48772238973603,2025-05-03 11:28:00,16,1,1,2025-05-03 11:44:00
76,24.229007168040987,58.92777313373586,2025-05-10 09:12:00,31,1,2,2025-05-10 09:43:00
77,24.271270346685945,58.88432664715968,2025-01-31 11:44:00,32,2,1,2025-01-31 12:16:00
78,23.57404465173409,59.17964728269307,2025-01-23 09:56:00,10,1,1,2025-01-23 10:06:00
79,23.85846572854427,58.71825388786507,2025-01-16 09:11:00,26,2,2,2025-01-16 09:37:00
80,23.61586905952513,59.44996118395022,2025-05-13 10:36:00,33,2,1,2025-05-13 11:09:00
81,24.363103425875593,59.28634501441555,2025-02-15 09:11:00,38,2,1,2025-02-15 09:49:00
82,24.123298126827557,58.58941100231226,2025-05-21 10:14:00,38,1,2,2025-05-21 10:52:00
83,23.83089802485265,58.91758077578493,2025-01-12 10:38:00,11,1,2,2025-01-12 10:49:00
84,23.563558350286023,59.379118307562166,2025-05-18 10:47:00,37,2,2,2025-05-18 11:24:00
85,23.810982321715663,59.44473202229141,2025-05-03 09:58:00,35,1,1,2025-05-03 10:33:00
86,23.825183322026746,58.96740151124987,2025-03-14 11:46:00,20,1,1,2025-03-14 12:06:00
87,24.229606178338063,59.11341138921071,2025-01-26 11:52:00,18,1,2,2025-01-26 12:10:00
88,24.137557471355212,58.667033946092076,2025-04-15 09:10:00,16,1,1,2025-04-15 09:26:00
89,24.387212742576327,59.491168626136975,2025-01-18 10:33:00,31,1,2,2025-01-18 11:04:00
90,23.97221492516195,58.73167170138344,2025-02-25 10:28:00,26,1,2,2025-02-25 10:54:00
91,23.619594245938302,59.442731774135126,2025-02-19 09:44:00,26,1,1,2025-02-19 10:10:00
92,24.213244787222994,59.149646648992366,2025-03-17 11:42:00,11,2,2,2025-03-17 11:53:00
93,24.260785048616896,59.10773679487886,2025-03-13 11:22:00,15,1,1,2025-03-13 11:37:00
94,24.061277197569495,59.012688511016506,2025-04-13 11:45:00,23,1,1,2025-04-13 12:08:00
95,24.27096717995456,58.73066981171776,2025-03-15 09:48:00,15,1,2,2025-03-15 10:03:00
96,23.99379559636439,58.67652803200551,2025-02-06 11:43:00,11,1,1,2025-02-06 11:54:00
97,24.022732829381994,58.720486209070174,2025-05-06 10:11:00,10,1,2,2025-05-06 10:21:00
98,23.92754101835855,58.68643826214426,2025-05-05 10:59:00,19,1,1,2025-05-05 11:18:00
99,23.525419126744094,59.27958447356675,2025-05-17 09:29:00,30,1,1,2025-05-17 09:59:00
100,23.607891426993305,58.85012525916673,2025-03-26 09:22:00,14,1,1,2025-03-26 09:36:00
101,23.531429185686733,58.557842676563396,2025-05-03 10:09:00,11,2,2,2025-05-03 10:20:00
102,24.136410411263782,59.46910263014081,2025-04-09 09:17:00,31,1,1,2025-04-09 09:48:00
103,23.814355981076325,59.38378588496342,2025-03-12 09:04:00,25,1,2,2025-03-12 09:29:00
104,24.008570691164703,59.42775228319521,2025-06-06 10:19:00,34,1,1,2025-06-06 10:53:00
105,24.407566473926092,59.49490782264643,2025-01-15 10:39:00,11,1,1,2025-01-15 10:50:00
106,23.749292229148875,58.673895249219484,2025-06-04 10:09:00,19,2,2,2025-06-04 10:28:00
107,23.91038292303563,58.89624201890266,2025-02-27 10:59:00,11,2,2,2025-02-27 11:10:00
108,24.255551138543048,59.25823847570409,2025-05-10 11:50:00,25,2,2,2025-05-10 12:15:00
109,23.72879816549162,59.196020618053794,2025-06-03 11:03:00,25,2,2,2025-06-03 11:28:00
110,23.576979909828793,58.653895906339855,2025-03-10 10:17:00,28,2,2,2025-03-10 10:45:00
111,23.78975145291377,59.31583312499062,2025-03-23 09:19:00,38,2,1,2025-03-23 09:57:00
112,23.661221287254005,58.72444057183666,2025-03-23 09:35:00,16,2,1,2025-03-23 09:51:00
113,24.429697652342572,58.72381761482262,2025-04-12 09:03:00,31,2,2,2025-04-12 09:34:00
114,24.308120379564418,59.036974422893415,2025-04-23 11:23:00,21,2,1,2025-04-23 11:44:00
115,24.133403756510422,59.0929399348417,2025-01-19 11:40:00,33,2,1,2025-01-19 12:13:00
116,24.371460590187716,59.08008620783781,2025-03-26 10:21:00,24,2,1,2025-03-26 10:45:00
117,24.303672076899115,58.59148683739775,2025-06-01 10:08:00,17,2,2,2025-06-01 10:25:00
118,23.686570058886037,59.37746086263038,2025-05-27 11:15:00,15,2,1,2025-05-27 11:30:00
119,24.392558998489978,58.76560004258871,2025-05-18 09:36:00,37,2,1,2025-05-18 10:13:00
120,24.03934224191565,58.629514921282805,2025-04-20 09:35:00,36,2,1,2025-04-20 10:11:00
121,24.307440155164063,59.388748079868975,2025-01-27 11:57:00,19,2,2,2025-01-27 12:16:00
122,24.396091299923494,59.455651498229756,2025-05-29 10:49:00,12,1,1,2025-05-29 11:01:00
123,23.818003474971864,59.36212761726545,2025-03-22 10:19:00,28,2,1,2025-03-22 10:47:00
124,23.610051924527678,59.309516074724876,2025-02-27 10:34:00,26,1,2,2025-02-27 11:00:00
125,23.727935162541943,59.15524198063902,2025-05-28 09:13:00,16,2,2,2025-05-28 09:29:00
126,23.927107788626255,59.05085737060914,2025-04-29 09:14:00,30,2,1,2025-04-29 09:44:00
127,24.31801476592249,58.58698675991141,2025-04-07 11:35:00,29,1,1,2025-04-07 12:04:00
128,24.360730583256345,58.9084532130707,2025-06-16 09:11:00,35,2,2,2025-06-16 09:46:00
129,23.50695213053119,58.872688517012314,2025-04-19 11:01:00,13,1,2,2025-04-19 11:14:00
130,24.010747302577567,58.759753783760324,2025-05-17 10:28:00,23,1,2,2025-05-17 10:51:00
131,23.91741100314878,59.22342011368858,2025-04-02 09:15:00,29,1,2,2025-04-02 09:44:00
132,23.72210781047073,58.99587573507877,2025-05-01 09:44:00,31,2,2,2025-05-01 10:15:00
